error_count,priority,node_id,version,hostaddr,hostname,task_name,status,error_message,progress,task_params,time_disconnected,time_connected,batch_id,error_batch_id,error_time
1,0,43,1.4.5.7354,67.58.52.98:51499,sme2d.local,,offline,CUDA_ERROR_OUT_OF_MEMORY (2) at line 123,0.0,{},1561940682,1561574911,-1,45,1561775563
0,0,44,1.4.5.7354,67.58.52.101:33476,sme2d-1-0.local,,offline,,0.0,{},1561940707,1561673112,-1,-1,0
35,0,45,1.4.5.7354,67.58.52.148:46332,wavelet2-0,,offline,Aborted by user,0.0,{},1562019463,1561675357,-1,58,1562014634
38,0,46,1.4.5.7354,67.58.52.152:57440,eklo-ws,,offline,Aborted by user,0.0,{},1562013988,1561852218,-1,56,1562013910
24,0,47,1.4.5.7354,67.58.52.140:57672,chei-threadripper,,offline,Can't open file: No such file or directory (2): /home/eklo/eric/fiona4/field/nps/proc/unaltred-jpeg/out/bow.psx,0.0,{},1561940088,1561940087,-1,47,1561940088
0,0,48,1.4.5.7354,67.58.52.140:57674,chei-threadripper,,offline,,0.0,{},1562007326,1561940112,-1,-1,0
34,0,49,1.4.5.7354,67.58.52.138:2592,chei-ws2,,offline,bad allocation,0.0,{},1562219095,1561940133,-1,63,1562021689
31,0,50,1.4.5.7354,67.58.52.141:55189,VIVA,,offline,Aborted by user,0.0,{},1562219094,1561940532,-1,58,1562014634
95,1,51,1.4.5.7354,137.110.116.7:45032,cisa3-sfm2,,ready,Aborted by user,0.0,{},1561940717,-1,80,1562357834
0,0,52,1.4.5.7354,137.110.116.84:53950,cisa3-sfm3,,offline,,0.0,{},1561940742,1561940737,-1,-1,0
0,0,53,1.4.5.7354,137.110.116.84:53953,cisa3-sfm3,,offline,,0.0,{},1561976189,1561940744,-1,-1,0
39,0,54,1.4.5.7354,67.58.52.98:52285,sme2d.local,,offline,Aborted by user,0.0,{},1562092095,1561940761,-1,58,1562014634
39,0,55,1.4.5.7354,67.58.52.99:33713,sme2d-0-0.local,,offline,Aborted by user,0.0,{},1562095717,1561940768,-1,58,1562014634
39,0,56,1.4.5.7354,67.58.52.100:49404,sme2d-0-1.local,,offline,Aborted by user,0.0,{},1562094773,1561940772,-1,55,1562013997
37,0,57,1.4.5.7354,67.58.52.101:33477,sme2d-1-0.local,,offline,Aborted by user,0.0,{},1562619345,1561940776,-1,58,1562014634
41,0,58,1.4.5.7354,67.58.52.102:57494,sme2d-1-1.local,,offline,Aborted by user,0.0,{},1562092154,1561940779,-1,58,1562014633
47,0,59,1.4.5.7354,67.58.52.103:49059,sme2d-2-0.local,,offline,Aborted by user,0.0,{},1562195611,1561940967,-1,55,1562014086
1578,1,60,1.4.5.7354,67.58.52.140:54342,chei-threadripper,,offline,Can't open file: No such file or directory (2): /home/chei/eric/fiona4/field/chichen_itza_july_2018/output/grupo.inicial.sfma/individual.runs/templo.inicial.sfma.sfmg.psx,0.0,{},1562014727,1562013459,-1,58,1562014633
0,0,61,1.4.5.7354,67.58.52.140:54472,chei-threadripper,,offline,,0.0,{},1562030457,1562015164,-1,-1,0
89,0,62,1.4.5.7354,67.58.52.140:35404,chei-threadripper,,offline,Can't open file: No such file or directory (2): /home/chei/eric/fiona4/field/chichen_itza_july_2018/output/grupo.inicial.sfma/individual.runs/tortuga.sfmg.psx,0.0,{},1562035403,1562035399,-1,67,1562035403
0,0,63,1.4.5.7354,67.58.52.140:35408,chei-threadripper,,offline,,0.0,{},1562090305,1562035466,-1,-1,0
0,0,64,1.4.5.7354,67.58.52.140:35412,chei-threadripper,,offline,,0.0,{},1562096683,1562090309,-1,-1,0
0,0,65,1.4.5.7354,67.58.52.98:56414,sme2d.local,,offline,,0.0,{},1562619317,1562092104,-1,-1,0
0,0,66,1.4.5.7354,67.58.52.102:57496,sme2d-1-1.local,,offline,,0.0,{},1562196725,1562092158,-1,-1,0
0,0,67,1.4.5.7354,67.58.52.100:49406,sme2d-0-1.local,,offline,,0.0,{},1562619374,1562094780,-1,-1,0
1,0,68,1.4.5.7354,67.58.52.99:33715,sme2d-0-0.local,,ready,Aborted by user,0.0,{},1562095736,-1,93,1562697420
0,0,69,1.4.5.7354,67.58.52.102:57497,sme2d-1-1.local,,ready,,0.0,{},1562196726,-1,-1,0
64,0,70,1.4.5.7354,67.58.52.141:60024,VIVA,,ready,bad allocation,0.0,{},1562219004,-1,102,1562875583
0,0,71,1.4.5.7354,67.58.52.138:29380,chei-ws2,,offline,,0.0,{},1562336800,1562219005,-1,-1,0
0,0,72,1.4.5.7354,67.58.52.98:57053,sme2d.local,,ready,,0.0,{},1562619319,-1,-1,0
0,0,73,1.4.5.7354,67.58.52.101:33479,sme2d-1-0.local,,ready,,0.0,{},1562619349,-1,-1,0
0,0,74,1.4.5.7354,67.58.52.100:49407,sme2d-0-1.local,,ready,,0.0,{},1562619376,-1,-1,0
263,0,75,1.4.5.7354,67.58.52.154:50597,DESKTOP-HGNNEGF,,offline,Can't open file: The system cannot find the path specified (3): C:/Program Files/Agisoft/PhotoScan Pro/chichen_itza_july_2018/output/grupo.inicial.sfma/individual.runs/tortuga.sfmg.aligned.backuppsx.psx,0.0,{},1562632066,1562632053,-1,90,1562632066
37,0,76,1.4.5.7354,67.58.52.154:50601,DESKTOP-HGNNEGF,,offline,Can't open file: The system cannot find the path specified (3): T:/chichen_itza_july_2018/output/grupo.inicial.sfma/individual.runs/tortuga.sfmg.aligned.backuppsx.psx,0.0,{},1562632121,1562632119,-1,90,1562632121
0,0,77,1.4.5.7354,67.58.52.154:50602,DESKTOP-HGNNEGF,,offline,,0.0,{},1562632854,1562632158,-1,-1,0
0,0,78,1.4.5.7354,67.58.52.154:50618,DESKTOP-HGNNEGF,,offline,,0.0,{},1562697093,1562632866,-1,-1,0
0,0,79,1.4.5.7354,67.58.52.154:51288,DESKTOP-HGNNEGF,,offline,,0.0,{},1562721086,1562699551,-1,-1,0
